src,dst,reference_type,weight,example_query_ids
SRP 2.4.1,SRP 3.4.2,lateral_cross_reference,3,levy_0360_hard_000;levy_0360_hard_001;levy_0361_hard_001
SRP 2.4.12,10 CFR Part 50,normative_basis,36,levy_0388_easy_000;levy_0388_easy_001;levy_0388_easy_002
SRP 2.4.12,RG 1.29,methodology_guidance,2,nuscale_0019_hard_001;levy_0406_hard_000
SRP 2.4.12,SRP 2.4.13,lateral_cross_reference,10,levy_0391_medium_001;levy_0392_hard_000;levy_0392_medium_001
SRP 2.4.13,10 CFR Part 50,normative_basis,5,levy_0403_medium_000;levy_0403_easy_001;levy_0405_hard_000
SRP 2.4.13,SRP 11.2,lateral_cross_reference,7,levy_0392_hard_000;levy_0403_medium_000;levy_0404_easy_000
SRP 2.4.2,SRP 2.4.4,lateral_cross_reference,1,levy_0365_hard_000
SRP 2.4.3,10 CFR Part 50,normative_basis,9,levy_0362_hard_000;levy_0362_hard_001;levy_0363_hard_000
SRP 2.4.3,RG 1.29,methodology_guidance,6,levy_0362_hard_000;levy_0362_hard_001;levy_0363_hard_000
SRP 2.4.3,RG 1.59,methodology_guidance,9,levy_0362_hard_000;levy_0362_hard_001;levy_0363_hard_000
SRP 2.4.3,SRP 2.4.2,lateral_cross_reference,2,levy_0364_hard_001;levy_0365_hard_000
SRP 2.4.4,10 CFR Part 50,normative_basis,6,levy_0367_hard_000;levy_0367_hard_001;levy_0368_hard_000
SRP 2.4.4,RG 1.29,methodology_guidance,6,levy_0367_hard_000;levy_0367_hard_001;levy_0368_hard_000
SRP 2.4.4,RG 1.59,methodology_guidance,6,levy_0367_hard_000;levy_0367_hard_001;levy_0368_hard_000
SRP 2.4.5,10 CFR Part 50,normative_basis,3,levy_0370_hard_000;levy_0371_easy_000;levy_0371_medium_001
SRP 2.4.5,RG 1.59,methodology_guidance,2,levy_0370_hard_000;levy_0371_medium_001
SRP 2.4.5,SRP 2.4.6,lateral_cross_reference,1,levy_0370_hard_000
SRP 2.4.6,10 CFR Part 50,normative_basis,21,levy_0372_hard_000;levy_0372_hard_001;levy_0373_medium_000
SRP 2.4.6,RG 1.29,methodology_guidance,15,levy_0372_hard_000;levy_0372_hard_001;levy_0373_hard_002
SRP 2.4.6,RG 1.59,methodology_guidance,21,levy_0372_hard_000;levy_0372_hard_001;levy_0373_medium_000
SRP 2.5.1,10 CFR Part 50,normative_basis,11,levy_0408_medium_000;levy_0409_medium_000;levy_0410_medium_000
SRP 2.5.1,RG 1.206,methodology_guidance,16,levy_0408_medium_000;levy_0409_medium_000;levy_0410_medium_000
SRP 2.5.1,SRP 2.5.2,lateral_cross_reference,2,levy_0413_hard_000;levy_0419_hard_000
SRP 2.5.1,SRP 2.5.3,lateral_cross_reference,1,levy_0419_hard_000
SRP 2.5.2,10 CFR Part 50,normative_basis,12,levy_0374_easy_000;levy_0375_medium_000;levy_0376_medium_000
SRP 2.5.2,RG 1.138,methodology_guidance,6,nuscale_0036_hard_001;levy_0375_hard_001;levy_0426_hard_000
SRP 2.5.2,RG 1.198,methodology_guidance,5,levy_0375_hard_001;levy_0426_hard_000;levy_0428_hard_000
SRP 2.5.2,RG 1.206,methodology_guidance,7,levy_0375_medium_000;levy_0375_hard_001;levy_0378_hard_001
SRP 2.5.2,SRP 2.4.6,lateral_cross_reference,6,levy_0376_medium_000;levy_0376_easy_001;levy_0377_medium_000
SRP 2.5.2,SRP 2.5.1,lateral_cross_reference,1,levy_0375_hard_001
SRP 2.5.2,SRP 3.7.1,lateral_cross_reference,4,nuscale_0032_hard_000;nuscale_0033_hard_000;nuscale_0036_hard_000
SRP 2.5.3,10 CFR Part 50,normative_basis,6,levy_0433_hard_000;levy_0434_easy_000;levy_0435_medium_000
SRP 2.5.3,RG 1.206,methodology_guidance,5,levy_0433_hard_000;levy_0435_medium_000;levy_0436_medium_000
SRP 2.5.3,SRP 2.5.1,lateral_cross_reference,1,levy_0438_hard_000
SRP 2.5.3,SRP 2.5.2,lateral_cross_reference,2,levy_0433_hard_000;levy_0438_hard_000
SRP 2.5.4,10 CFR Part 50,normative_basis,14,levy_0440_hard_000;levy_0441_hard_000;levy_0442_hard_000
SRP 2.5.4,RG 1.138,methodology_guidance,10,levy_0440_hard_000;levy_0441_hard_000;levy_0444_medium_000
SRP 2.5.4,RG 1.198,methodology_guidance,8,levy_0440_hard_000;levy_0441_hard_000;levy_0447_hard_000
SRP 2.5.4,RG 1.206,methodology_guidance,2,levy_0441_hard_000;levy_0443_hard_000
SRP 2.5.4,RG 1.28,methodology_guidance,3,levy_0440_hard_000;levy_0447_hard_000;levy_0452_hard_000
SRP 2.5.4,SRP 2.5.1,lateral_cross_reference,1,levy_0442_hard_000
SRP 2.5.4,SRP 2.5.3,lateral_cross_reference,1,levy_0453_hard_000
SRP 2.5.4,SRP 3.7.1,lateral_cross_reference,1,nuscale_0075_hard_000
SRP 2.5.4,SRP 3.8.5,lateral_cross_reference,1,levy_0450_hard_000
SRP 3.12,10 CFR Part 50,normative_basis,4,nuscale_0129_easy_000;nuscale_0130_medium_000;nuscale_0130_medium_001
SRP 3.12,SRP 3.9.3,lateral_cross_reference,3,nuscale_0130_medium_000;nuscale_0130_medium_001;nuscale_0130_medium_002
SRP 3.3.1,10 CFR Part 50,normative_basis,10,nuscale_0012_hard_000;nuscale_0012_hard_001;nuscale_0012_hard_002
SRP 3.3.1,RG 1.206,methodology_guidance,1,nuscale_0012_hard_000
SRP 3.3.1,SRP 2.3.1,lateral_cross_reference,9,nuscale_0012_hard_000;nuscale_0012_hard_001;nuscale_0012_hard_002
SRP 3.3.1,SRP 2.3.2,lateral_cross_reference,9,nuscale_0012_hard_000;nuscale_0012_hard_001;nuscale_0012_hard_002
SRP 3.4.2,10 CFR Part 50,normative_basis,8,nuscale_0015_hard_000;nuscale_0016_hard_000;nuscale_0017_hard_000
SRP 3.4.2,SRP 14.3.10,lateral_cross_reference,7,nuscale_0015_hard_000;nuscale_0016_hard_000;nuscale_0017_hard_000
SRP 3.4.2,SRP 2.4.12,lateral_cross_reference,8,nuscale_0015_hard_000;nuscale_0016_hard_000;nuscale_0017_hard_000
SRP 3.4.2,SRP 2.4.3,lateral_cross_reference,8,nuscale_0015_hard_000;nuscale_0016_hard_000;nuscale_0017_hard_000
SRP 3.5.2,10 CFR Part 50,normative_basis,5,nuscale_0020_easy_000;nuscale_0020_medium_001;nuscale_0021_easy_000
SRP 3.5.2,RG 1.138,methodology_guidance,2,nuscale_0020_medium_001;nuscale_0021_medium_001
SRP 3.7.1,10 CFR Part 50,normative_basis,10,nuscale_0022_hard_000;nuscale_0022_easy_001;nuscale_0023_medium_000
SRP 3.7.1,RG 1.61,methodology_guidance,1,nuscale_0022_hard_000
SRP 3.7.1,SRP 2.5.2,lateral_cross_reference,9,nuscale_0023_medium_000;nuscale_0023_hard_001;nuscale_0023_medium_002
SRP 3.7.1,SRP 2.5.4,lateral_cross_reference,1,levy_0457_hard_000
SRP 3.7.1,SRP 3.7.2,lateral_cross_reference,3,nuscale_0023_hard_001;nuscale_0024_hard_002;levy_0457_hard_000
SRP 3.7.2,10 CFR Part 50,normative_basis,3,nuscale_0073_hard_001;nuscale_0075_hard_001;nuscale_0076_hard_000
SRP 3.7.2,RG 1.138,methodology_guidance,3,nuscale_0023_hard_001;nuscale_0075_hard_001;nuscale_0076_hard_000
SRP 3.7.2,SRP 3.7.1,lateral_cross_reference,1,nuscale_0070_hard_000
SRP 3.8.5,10 CFR Part 50,normative_basis,24,nuscale_0068_hard_000;nuscale_0068_hard_001;nuscale_0069_hard_000
SRP 3.8.5,RG 1.206,methodology_guidance,17,nuscale_0068_hard_000;nuscale_0068_hard_001;nuscale_0069_hard_000
SRP 3.8.5,SRP 13.2.1,lateral_cross_reference,1,nuscale_0068_hard_001
SRP 3.8.5,SRP 13.2.2,lateral_cross_reference,2,nuscale_0068_hard_001;nuscale_0073_hard_000
SRP 3.8.5,SRP 17.5,lateral_cross_reference,1,nuscale_0073_hard_000
SRP 3.8.5,SRP 2.5.1,lateral_cross_reference,3,nuscale_0071_hard_000;nuscale_0078_hard_000;nuscale_0078_hard_001
SRP 3.8.5,SRP 2.5.2,lateral_cross_reference,1,nuscale_0078_hard_000
SRP 3.8.5,SRP 2.5.4,lateral_cross_reference,5,nuscale_0068_hard_000;nuscale_0075_hard_000;nuscale_0075_hard_001
SRP 3.8.5,SRP 3.7.1,lateral_cross_reference,11,nuscale_0069_hard_000;nuscale_0069_hard_001;nuscale_0071_hard_000
SRP 3.8.5,SRP 3.7.2,lateral_cross_reference,20,nuscale_0035_hard_001;nuscale_0069_hard_000;nuscale_0069_hard_001
SRP 3.9.1,10 CFR Part 50,normative_basis,7,nuscale_0083_medium_000;nuscale_0084_medium_000;nuscale_0084_hard_001
SRP 3.9.1,RG 1.71,methodology_guidance,1,nuscale_0052_hard_000
SRP 3.9.1,RG 1.84,lateral_cross_reference,1,nuscale_0051_hard_001
SRP 3.9.1,SRP 3.7.2,lateral_cross_reference,1,nuscale_0084_hard_001
SRP 3.9.1,SRP 3.9.3,lateral_cross_reference,7,nuscale_0083_medium_000;nuscale_0084_medium_000;nuscale_0084_hard_001
SRP 3.9.2,10 CFR Part 50,normative_basis,20,nuscale_0088_hard_000;nuscale_0088_hard_001;nuscale_0089_hard_000
SRP 3.9.2,RG 1.20,methodology_guidance,21,nuscale_0088_hard_000;nuscale_0088_hard_001;nuscale_0089_hard_000
SRP 3.9.2,RG 1.29,methodology_guidance,18,nuscale_0053_hard_001;nuscale_0088_hard_000;nuscale_0088_hard_001
SRP 3.9.3,10 CFR Part 50,normative_basis,3,nuscale_0099_easy_000;nuscale_0100_hard_000;nuscale_0100_easy_001
SRP 3.9.3,RG 1.20,methodology_guidance,1,nuscale_0104_hard_000
SRP 3.9.3,SRP 3.9.2,lateral_cross_reference,1,nuscale_0100_hard_000
SRP 3.9.5,10 CFR Part 50,normative_basis,16,nuscale_0102_hard_000;nuscale_0102_hard_001;nuscale_0103_hard_000
SRP 3.9.5,RG 1.20,methodology_guidance,6,nuscale_0102_hard_000;nuscale_0102_hard_001;nuscale_0104_hard_001
SRP 3.9.5,RG 1.206,methodology_guidance,1,nuscale_0112_hard_000
SRP 3.9.5,SRP 3.9.2,lateral_cross_reference,12,nuscale_0102_hard_000;nuscale_0102_hard_001;nuscale_0103_hard_000
SRP 3.9.5,SRP 3.9.3,lateral_cross_reference,16,nuscale_0102_hard_000;nuscale_0102_hard_001;nuscale_0103_hard_000
SRP 4.6,10 CFR Part 50,normative_basis,4,nuscale_0136_easy_000;nuscale_0137_hard_000;nuscale_0137_easy_001
SRP 4.6,SRP 14.2,lateral_cross_reference,1,nuscale_0137_hard_000
SRP 4.6,SRP 15.0.3,lateral_cross_reference,1,nuscale_0137_hard_000
SRP 5.2.3,10 CFR Part 50,normative_basis,40,nuscale_0138_hard_000;nuscale_0138_hard_001;nuscale_0138_hard_002
SRP 5.2.3,RG 1.36,methodology_guidance,1,nuscale_0142_hard_002
SRP 5.2.3,RG 1.44,methodology_guidance,17,nuscale_0138_hard_000;nuscale_0138_hard_001;nuscale_0138_hard_002
SRP 5.2.3,RG 1.50,methodology_guidance,23,nuscale_0138_hard_000;nuscale_0139_hard_000;nuscale_0139_hard_001
SRP 5.2.3,RG 1.71,methodology_guidance,12,nuscale_0139_hard_001;nuscale_0147_hard_001;nuscale_0147_hard_002
SRP 5.2.3,RG 1.84,methodology_guidance,19,nuscale_0138_hard_000;nuscale_0138_hard_001;nuscale_0138_hard_002
SRP 5.2.3,SRP 15.4.8,lateral_cross_reference,1,nuscale_0143_hard_000
SRP 6.4,10 CFR Part 50,normative_basis,23,nuscale_0213_hard_000;nuscale_0213_hard_001;nuscale_0213_hard_002
SRP 6.4,RG 1.183,methodology_guidance,13,nuscale_0213_hard_000;nuscale_0213_hard_001;nuscale_0213_hard_002
SRP 6.4,RG 1.78,methodology_guidance,20,nuscale_0213_hard_000;nuscale_0213_hard_001;nuscale_0213_hard_002
SRP 6.4,SRP 16.0,lateral_cross_reference,2,nuscale_0216_hard_000;nuscale_0216_hard_001
SRP 8.1,10 CFR Part 50,normative_basis,5,nuscale_0225_easy_001;nuscale_0225_easy_002;nuscale_0226_easy_000
SRP 8.2,10 CFR Part 50,normative_basis,13,nuscale_0227_hard_000;nuscale_0228_hard_000;nuscale_0228_hard_001
SRP 8.2,RG 1.155,methodology_guidance,9,nuscale_0227_hard_000;nuscale_0228_hard_000;nuscale_0228_hard_001
SRP 8.2,RG 1.160,methodology_guidance,12,nuscale_0227_hard_000;nuscale_0228_hard_000;nuscale_0228_hard_001
SRP 8.2,RG 1.32,methodology_guidance,8,nuscale_0227_hard_000;nuscale_0228_hard_000;nuscale_0228_hard_001
SRP 9.1.1,10 CFR Part 50,normative_basis,25,nuscale_0239_easy_000;nuscale_0240_easy_000;nuscale_0240_easy_001
SRP 9.1.1,SRP 14.3.10,lateral_cross_reference,1,nuscale_0248_medium_000
SRP 9.1.2,10 CFR Part 50,normative_basis,6,nuscale_0252_easy_000;nuscale_0252_medium_001;nuscale_0252_easy_002
SRP 9.1.2,RG 1.138,methodology_guidance,1,nuscale_0252_medium_001
SRP 9.1.2,RG 1.29,methodology_guidance,1,nuscale_0253_medium_002
SRP 9.1.3,10 CFR Part 50,normative_basis,12,nuscale_0254_hard_000;nuscale_0254_hard_001;nuscale_0254_hard_002
SRP 9.1.3,RG 1.138,methodology_guidance,1,nuscale_0254_hard_000
SRP 9.1.3,RG 1.26,methodology_guidance,12,nuscale_0254_hard_000;nuscale_0254_hard_001;nuscale_0254_hard_002
SRP 9.1.3,RG 1.29,methodology_guidance,12,nuscale_0254_hard_000;nuscale_0254_hard_001;nuscale_0254_hard_002
SRP 9.1.3,SRP 3.7.1,lateral_cross_reference,2,nuscale_0254_hard_001;nuscale_0255_hard_000
SRP 9.2.6,10 CFR Part 50,normative_basis,7,nuscale_0260_hard_000;nuscale_0260_medium_001;nuscale_0260_hard_002
SRP 9.2.6,RG 1.143,methodology_guidance,6,nuscale_0260_medium_001;nuscale_0260_hard_002;nuscale_0261_hard_000
SRP 9.2.6,RG 1.155,methodology_guidance,2,nuscale_0261_hard_000;nuscale_0262_hard_000
SRP 9.2.6,RG 1.29,methodology_guidance,3,nuscale_0260_hard_000;nuscale_0260_hard_002;nuscale_0262_hard_000
SRP 9.2.6,RG 1.59,methodology_guidance,1,nuscale_0260_hard_000
SRP 9.2.7,10 CFR Part 50,normative_basis,7,nuscale_0263_easy_000;nuscale_0263_hard_001;nuscale_0264_hard_000
SRP 9.2.7,RG 1.155,methodology_guidance,3,nuscale_0263_hard_001;nuscale_0264_hard_000;nuscale_0264_hard_001
SRP 9.2.7,RG 1.206,methodology_guidance,1,nuscale_0265_hard_001
SRP 9.2.7,RG 1.28,methodology_guidance,3,nuscale_0263_hard_001;nuscale_0264_hard_000;nuscale_0264_hard_001
SRP 9.2.7,RG 1.29,methodology_guidance,5,nuscale_0263_hard_001;nuscale_0264_hard_000;nuscale_0264_hard_001
SRP 9.2.7,SRP 13.2.1,lateral_cross_reference,2,nuscale_0265_hard_000;nuscale_0265_hard_001
SRP 9.2.7,SRP 13.2.2,lateral_cross_reference,2,nuscale_0265_hard_000;nuscale_0265_hard_001
SRP 9.2.7,SRP 14.3.10,lateral_cross_reference,2,nuscale_0265_hard_000;nuscale_0265_hard_001
SRP 9.2.7,SRP 19.3,lateral_cross_reference,3,nuscale_0265_hard_000;nuscale_0266_hard_000;nuscale_0266_hard_001
SRP 9.3.3,10 CFR Part 50,normative_basis,4,nuscale_0267_easy_000;nuscale_0267_easy_001;nuscale_0268_easy_000
SRP 9.5.2,10 CFR Part 50,normative_basis,1,nuscale_0277_easy_000
